created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-09-01T13:21:21+00:00,58,38,1021,25.00,53.00,,,,
2026-09-01T13:21:36+00:00,59,38,1021,25.30,53.00,,,,
2026-09-01T13:21:52+00:00,60,37,1021,25.30,54.00,,,,
2026-09-01T13:22:08+00:00,61,37,1021,25.30,53.00,,,,
2026-09-01T13:22:23+00:00,62,37,1021,25.30,54.00,,,,
2026-09-01T13:22:39+00:00,63,36,1021,25.30,53.00,,,,
2026-09-01T13:22:54+00:00,64,36,1021,25.30,53.00,,,,
2026-09-01T13:23:10+00:00,65,36,1021,25.30,53.00,,,,
2026-09-01T13:23:26+00:00,66,35,1021,25.30,53.00,,,,
2026-09-01T13:23:41+00:00,67,35,1021,25.30,53.00,,,,
2026-09-01T13:23:57+00:00,68,35,1021,25.30,53.00,,,,
2026-09-01T13:24:13+00:00,69,35,1021,25.30,53.00,,,,
2026-09-01T13:24:29+00:00,70,35,1021,25.30,53.00,,,,
2026-09-01T13:24:45+00:00,71,35,1021,25.30,53.00,,,,
2026-09-01T13:25:00+00:00,72,34,1021,25.30,53.00,,,,
2026-09-01T13:25:16+00:00,73,35,1021,25.30,53.00,,,,
2026-09-01T13:26:00+00:00,74,35,1021,25.30,53.00,,,,
2026-09-01T13:26:17+00:00,75,34,1021,25.30,53.00,,,,
2026-09-01T13:26:32+00:00,76,35,1021,25.30,53.00,,,,
2026-09-01T13:26:47+00:00,77,581,1021,25.30,53.00,,,,
2026-09-01T13:27:03+00:00,78,192,1021,25.30,53.00,,,,
2026-09-01T13:27:18+00:00,79,127,1021,25.30,53.00,,,,
2026-09-01T13:27:36+00:00,80,100,1021,25.30,53.00,,,,
2026-09-01T13:27:52+00:00,81,83,1021,25.30,53.00,,,,
2026-09-01T13:28:08+00:00,82,76,1021,25.30,53.00,,,,
2026-09-01T13:28:23+00:00,83,68,1021,25.30,53.00,,,,
2026-09-01T13:28:39+00:00,84,64,1021,25.30,53.00,,,,
2026-09-01T13:28:54+00:00,85,751,1021,25.30,53.00,,,,
2026-09-01T13:29:10+00:00,86,227,1021,25.30,53.00,,,,
2026-09-01T13:29:26+00:00,87,139,1020,25.30,53.00,,,,
2026-09-01T13:29:42+00:00,88,99,1021,25.30,53.00,,,,
2026-09-01T13:29:58+00:00,89,82,1021,25.30,54.00,,,,
2026-09-01T13:30:13+00:00,90,74,1021,25.30,53.00,,,,
2026-09-01T13:30:29+00:00,91,67,1021,25.30,53.00,,,,
2026-09-01T13:30:45+00:00,92,64,1021,25.30,53.00,,,,
2026-09-01T13:31:00+00:00,93,60,1021,25.30,53.00,,,,
2026-09-01T13:31:16+00:00,94,57,1021,25.30,53.00,,,,
2026-09-01T13:31:31+00:00,95,55,1021,25.30,53.00,,,,
2026-09-01T13:31:46+00:00,96,53,1021,25.30,54.00,,,,
2026-09-01T13:32:02+00:00,97,51,1021,25.30,53.00,,,,
2026-09-01T13:32:18+00:00,98,50,1021,25.30,54.00,,,,
2026-09-01T13:32:34+00:00,99,48,1021,25.30,53.00,,,,
2026-09-01T13:32:49+00:00,100,48,1021,25.30,53.00,,,,
2026-09-01T13:33:04+00:00,101,47,1021,25.30,53.00,,,,
2026-09-01T13:33:20+00:00,102,46,1021,25.30,53.00,,,,
2026-09-01T13:33:52+00:00,103,44,1021,25.30,53.00,,,,
2026-09-01T13:34:07+00:00,104,44,1021,25.30,53.00,,,,
2026-09-01T13:34:23+00:00,105,252,1021,25.30,53.00,,,,
2026-09-01T13:34:38+00:00,106,138,1021,25.30,53.00,,,,
2026-09-01T13:34:54+00:00,107,97,1021,25.30,53.00,,,,
2026-09-01T13:35:36+00:00,108,68,1021,25.30,53.00,,,,
2026-09-01T13:35:52+00:00,109,59,1021,25.30,53.00,,,,
2026-09-01T13:36:08+00:00,110,429,1021,25.30,53.00,,,,
2026-09-01T13:36:24+00:00,111,396,1021,25.30,53.00,,,,
2026-09-01T13:36:40+00:00,112,188,1021,25.30,53.00,,,,
2026-09-01T13:36:57+00:00,113,137,1021,25.30,53.00,,,,
2026-09-01T13:37:12+00:00,114,107,1021,25.30,53.00,,,,
2026-09-01T13:37:28+00:00,115,90,1021,25.30,53.00,,,,
2026-09-01T13:37:43+00:00,116,81,1021,25.30,53.00,,,,
2026-09-01T13:37:58+00:00,117,75,1021,25.30,53.00,,,,
2026-09-01T13:38:16+00:00,118,71,1021,25.30,52.00,,,,
2026-09-01T13:38:31+00:00,119,69,1021,25.30,53.00,,,,
2026-09-01T13:38:47+00:00,120,65,1021,25.30,52.00,,,,
2026-09-01T13:39:03+00:00,121,63,1021,25.30,53.00,,,,
2026-09-01T13:39:18+00:00,122,61,1021,25.30,53.00,,,,
2026-09-01T13:39:34+00:00,123,59,1021,25.30,53.00,,,,
2026-09-01T13:39:49+00:00,124,57,1021,25.30,53.00,,,,
2026-09-01T13:40:04+00:00,125,56,1021,25.30,53.00,,,,
2026-09-01T13:40:20+00:00,126,55,1021,25.30,53.00,,,,
2026-09-01T13:40:36+00:00,127,55,1021,25.30,53.00,,,,
2026-09-01T13:40:52+00:00,128,54,1021,25.30,53.00,,,,
2026-09-01T13:41:07+00:00,129,53,1021,24.90,53.00,,,,
2026-09-01T13:41:23+00:00,130,52,1021,24.80,53.00,,,,
2026-09-01T13:41:38+00:00,131,52,1021,24.80,53.00,,,,
2026-09-01T13:41:53+00:00,132,51,1021,24.80,53.00,,,,
2026-09-01T13:42:09+00:00,133,51,1021,24.80,53.00,,,,
2026-09-01T13:42:24+00:00,134,50,1021,24.80,53.00,,,,
2026-09-01T13:42:39+00:00,135,50,1021,24.80,53.00,,,,
2026-09-01T13:42:55+00:00,136,49,1021,24.80,53.00,,,,
2026-09-01T13:43:11+00:00,137,49,1021,24.80,53.00,,,,
2026-09-01T13:43:26+00:00,138,49,1021,24.80,53.00,,,,
2026-09-01T13:43:42+00:00,139,48,1021,24.90,53.00,,,,
2026-09-01T13:43:58+00:00,140,48,1021,25.30,53.00,,,,
2026-09-01T13:44:14+00:00,141,48,1021,25.30,53.00,,,,
2026-09-01T13:44:33+00:00,142,47,1021,25.30,53.00,,,,
2026-09-01T13:44:49+00:00,143,47,1021,25.30,53.00,,,,
2026-09-01T13:45:04+00:00,144,47,1021,25.30,53.00,,,,
2026-09-01T13:45:20+00:00,145,47,1021,25.30,53.00,,,,
2026-09-01T13:45:35+00:00,146,47,1021,25.10,53.00,,,,
2026-09-01T13:45:51+00:00,147,47,1021,24.80,53.00,,,,
2026-09-01T13:46:08+00:00,148,46,1021,24.80,53.00,,,,
2026-09-01T13:46:23+00:00,149,46,1021,24.80,53.00,,,,
2026-09-01T13:46:40+00:00,150,46,1021,24.80,54.00,,,,
2026-09-01T13:46:56+00:00,151,45,1021,24.80,54.00,,,,
2026-09-01T13:47:12+00:00,152,45,1021,24.80,54.00,,,,
2026-09-01T13:47:28+00:00,153,45,1021,24.80,54.00,,,,
2026-09-01T13:47:43+00:00,154,45,1020,24.80,54.00,,,,
2026-09-01T13:47:59+00:00,155,45,1021,24.80,54.00,,,,
2026-09-01T13:48:14+00:00,156,45,1021,24.80,54.00,,,,
2026-09-01T13:48:30+00:00,157,45,1021,24.80,54.00,,,,
2026-09-01T13:48:46+00:00,158,45,1021,24.80,54.00,,,,
2026-09-01T13:49:02+00:00,159,44,1021,24.80,54.00,,,,
2026-09-01T13:49:19+00:00,160,44,1021,24.80,54.00,,,,
2026-09-01T13:49:34+00:00,161,44,1021,24.80,54.00,,,,
2026-09-01T13:49:50+00:00,162,44,1021,24.80,54.00,,,,
2026-09-01T13:50:06+00:00,163,44,1021,24.80,54.00,,,,
2026-09-01T13:50:21+00:00,164,44,1021,24.80,54.00,,,,
2026-09-01T13:50:37+00:00,165,44,1021,24.80,54.00,,,,
2026-09-01T13:50:52+00:00,166,44,1021,24.80,54.00,,,,
2026-09-01T13:51:08+00:00,167,44,1021,24.80,54.00,,,,
2026-09-01T13:51:24+00:00,168,44,1021,24.80,54.00,,,,
2026-09-01T13:51:39+00:00,169,44,1021,24.80,54.00,,,,
2026-09-01T13:51:54+00:00,170,43,1021,24.80,54.00,,,,
2026-09-01T13:52:09+00:00,171,44,1021,24.80,54.00,,,,
2026-09-01T13:52:25+00:00,172,43,1021,24.80,54.00,,,,
2026-09-01T13:52:40+00:00,173,44,1021,24.80,54.00,,,,
2026-09-01T13:52:59+00:00,174,43,1021,24.80,54.00,,,,
2026-09-01T13:53:15+00:00,175,43,1021,24.80,54.00,,,,
2026-09-01T13:53:32+00:00,176,43,1021,24.80,54.00,,,,
2026-09-01T13:53:47+00:00,177,43,1021,24.80,54.00,,,,
2026-09-01T13:54:02+00:00,178,43,1021,24.80,54.00,,,,
2026-09-01T13:54:18+00:00,179,43,1021,24.80,54.00,,,,
2026-09-01T13:54:34+00:00,180,43,1021,24.80,54.00,,,,
2026-09-01T13:54:50+00:00,181,43,1021,24.80,54.00,,,,
2026-09-01T13:55:06+00:00,182,43,1021,24.80,54.00,,,,
2026-09-01T13:55:22+00:00,183,42,1021,24.80,54.00,,,,
2026-09-01T13:55:37+00:00,184,42,1021,24.80,54.00,,,,
2026-09-01T13:55:53+00:00,185,43,1021,24.80,54.00,,,,
2026-09-01T13:56:09+00:00,186,43,1021,24.80,54.00,,,,
2026-09-01T13:56:24+00:00,187,42,1021,24.80,54.00,,,,
2026-09-01T13:56:39+00:00,188,42,1021,24.80,54.00,,,,
2026-09-01T13:56:55+00:00,189,42,1021,24.80,54.00,,,,
2026-09-01T13:57:11+00:00,190,42,1021,24.80,54.00,,,,
2026-09-01T13:57:26+00:00,191,42,1021,24.80,54.00,,,,
2026-09-01T13:57:43+00:00,192,42,1021,24.80,54.00,,,,
2026-09-01T13:57:58+00:00,193,42,1021,24.80,54.00,,,,
2026-09-01T13:58:13+00:00,194,42,1021,24.80,54.00,,,,
2026-09-01T13:58:29+00:00,195,42,1021,24.80,54.00,,,,
2026-09-01T13:58:44+00:00,196,42,1021,24.80,54.00,,,,
2026-09-01T13:59:00+00:00,197,42,1021,24.80,54.00,,,,
2026-09-01T13:59:15+00:00,198,42,1021,24.80,54.00,,,,
2026-09-01T13:59:31+00:00,199,42,1021,24.80,54.00,,,,
2026-09-01T13:59:46+00:00,200,41,1021,24.80,54.00,,,,
2026-09-01T14:00:01+00:00,201,42,1021,25.10,54.00,,,,
2026-09-01T14:00:17+00:00,202,42,1021,25.20,54.00,,,,
2026-09-01T14:00:32+00:00,203,42,1021,25.30,54.00,,,,
2026-09-01T14:00:48+00:00,204,41,1021,25.30,54.00,,,,
2026-09-01T14:01:04+00:00,205,42,1021,24.80,54.00,,,,
2026-09-01T14:01:19+00:00,206,42,1021,24.80,54.00,,,,
2026-09-01T14:01:35+00:00,207,42,1021,24.80,54.00,,,,
2026-09-01T14:01:50+00:00,208,42,1021,24.80,54.00,,,,
2026-09-01T14:02:06+00:00,209,46,1021,24.80,54.00,,,,
2026-09-01T14:02:21+00:00,210,46,1021,24.80,54.00,,,,
2026-09-01T14:02:37+00:00,211,46,1021,24.90,54.00,,,,
2026-09-01T14:02:53+00:00,212,46,1021,25.30,54.00,,,,
2026-09-01T14:03:08+00:00,213,46,1021,25.30,54.00,,,,
2026-09-01T14:03:24+00:00,214,46,1021,25.30,54.00,,,,
2026-09-01T14:03:39+00:00,215,45,1021,25.30,54.00,,,,
2026-09-01T14:03:55+00:00,216,45,1021,25.30,54.00,,,,
2026-09-01T14:04:11+00:00,217,45,1021,25.30,54.00,,,,
2026-09-01T14:04:26+00:00,218,45,1021,25.30,54.00,,,,
2026-09-01T14:04:41+00:00,219,45,1021,25.30,54.00,,,,
2026-09-01T14:04:56+00:00,220,46,1021,25.30,54.00,,,,
2026-09-01T14:05:13+00:00,221,45,1021,25.30,54.00,,,,
2026-09-01T14:05:29+00:00,222,45,10213101,45,"1021,25.30,54.00",,,,
2026-09-01T14:05:45+00:00,223,45,1021,25.30,54.00,,,,
2026-09-01T14:06:06+00:00,224,46,1022,25.30,54.00,,,,
2026-09-01T14:06:22+00:00,225,45,1021,25.30,54.00,,,,
2026-09-01T14:06:37+00:00,226,46,1021,25.30,54.00,,,,
2026-09-01T14:06:53+00:00,227,45,1020,25.30,54.00,,,,
2026-09-01T14:07:08+00:00,228,45,1021,24.80,54.00,,,,
2026-09-01T14:07:24+00:00,229,45,1021,24.80,54.00,,,,
2026-09-01T14:07:39+00:00,230,45,1021,24.80,54.00,,,,
2026-09-01T14:07:55+00:00,231,45,1021,24.80,54.00,,,,
2026-09-01T14:08:11+00:00,232,46,1021,24.90,54.00,,,,
2026-09-01T14:08:27+00:00,233,45,1021,25.30,54.00,,,,
2026-09-01T14:08:43+00:00,234,45,1021,25.30,54.00,,,,
2026-09-01T14:09:11+00:00,235,45,10213316,45,"1021,24.80,54.00",,,,
2026-09-01T14:09:28+00:00,236,45,1021,24.80,54.00,,,,
2026-09-01T14:09:45+00:00,237,45,10213350,45,"1021,24.80,54.00",,,,
2026-09-01T14:10:11+00:00,238,45,1021,24.80,54.00,,,,
2026-09-01T14:10:27+00:00,239,45,10213396,45,"1021,24.80,54.00",,,,
2026-09-01T14:10:42+00:00,240,45,1021,24.80,54.00,,,,
2026-09-01T14:10:58+00:00,241,45,1021,24.80,54.00,,,,
2026-09-01T14:11:14+00:00,242,45,1021,24.80,54.00,,,,
2026-09-01T14:11:34+00:00,243,45,1021,24.80,54.00,,,,
2026-09-01T14:11:49+00:00,244,45,1021,24.80,54.00,,,,
2026-09-01T14:12:09+00:00,245,45,1021,24.80,55.00,,,,
2026-09-01T14:12:30+00:00,246,45,10213514,45,"1021,24.80,55.00",,,,
2026-09-01T14:12:45+00:00,247,45,1021,24.80,54.00,,,,
2026-09-01T14:13:02+00:00,248,45,10213553,45,"1021,24.90,54.00",,,,
2026-09-01T14:13:17+00:00,249,45,1021,25.30,54.00,,,,
2026-09-01T14:13:33+00:00,250,45,1021,25.30,54.00,,,,
2026-09-01T14:13:49+00:00,251,45,1021,25.30,54.00,,,,
2026-09-01T14:14:10+00:00,252,45,1021,25.30,54.00,,,,
2026-09-01T14:14:25+00:00,253,45,1021,25.30,54.00,,,,
2026-09-01T14:14:40+00:00,254,45,1021,25.30,54.00,,,,
2026-09-01T14:14:56+00:00,255,45,1021,25.30,54.00,,,,
2026-09-01T14:15:12+00:00,256,45,1021,25.10,54.00,,,,
2026-09-01T14:15:27+00:00,257,45,1021,24.80,54.00,,,,
2026-09-01T14:15:44+00:00,258,45,1021,24.80,54.00,,,,
2026-09-01T14:15:59+00:00,259,45,1021,24.80,54.00,,,,
2026-09-01T14:16:15+00:00,260,45,1021,24.80,55.00,,,,
2026-09-01T14:16:31+00:00,261,45,1021,24.80,55.00,,,,
2026-09-01T14:16:46+00:00,262,45,1021,24.80,55.00,,,,
2026-09-01T14:17:02+00:00,263,45,1021,24.80,55.00,,,,
2026-09-01T14:17:17+00:00,264,45,1021,24.80,55.00,,,,
2026-09-01T14:17:33+00:00,265,45,1021,24.80,55.00,,,,
2026-09-01T14:17:48+00:00,266,47,1021,24.80,55.00,,,,
2026-09-01T14:18:04+00:00,267,47,1021,24.80,55.00,,,,
2026-09-01T14:18:20+00:00,268,47,1020,24.80,55.00,,,,
2026-09-01T14:18:35+00:00,269,47,1021,24.80,55.00,,,,
2026-09-01T14:18:51+00:00,270,47,1021,24.80,55.00,,,,
2026-09-01T14:19:06+00:00,271,47,1021,24.80,55.00,,,,
2026-09-01T14:19:22+00:00,272,47,1021,24.80,55.00,,,,
2026-09-01T14:19:38+00:00,273,47,1021,24.80,55.00,,,,
2026-09-01T14:19:53+00:00,274,46,1020,24.80,55.00,,,,
2026-09-01T14:20:09+00:00,275,46,1021,24.90,55.00,,,,
2026-09-01T14:20:24+00:00,276,46,1021,25.20,55.00,,,,
2026-09-01T14:20:40+00:00,277,46,1021,24.80,55.00,,,,
2026-09-01T14:20:56+00:00,278,46,1021,24.80,55.00,,,,
2026-09-01T14:21:11+00:00,279,45,1021,24.80,55.00,,,,
2026-09-01T14:21:32+00:00,280,45,1021,24.80,55.00,,,,
2026-09-01T14:21:48+00:00,281,45,1021,24.80,55.00,,,,
2026-09-01T14:22:03+00:00,282,45,1021,24.80,55.00,,,,
2026-09-01T14:22:19+00:00,283,45,1021,24.80,55.00,,,,
